iter	Passed	Remaining
0	135	135327
1	135	67862
2	136	45354
3	136	34083
4	137	27335
5	137	22834
6	138	19615
7	138	17199
8	139	15328
9	139	13840
10	140	12619
11	140	11606
12	141	10741
13	141	9991
14	142	9348
15	142	8784
16	143	8287
17	143	7844
18	144	7451
19	144	7093
20	145	6772
21	145	6480
22	146	6218
23	146	5975
24	147	5751
25	147	5541
26	148	5351
27	148	5170
28	149	5003
29	149	4847
30	150	4700
31	150	4566
32	151	4440
33	152	4320
34	152	4205
35	153	4097
36	153	3994
37	153	3898
38	154	3806
39	154	3718
40	155	3634
41	155	3556
42	156	3484
43	157	3415
44	157	3347
45	158	3280
46	158	3217
47	159	3156
48	159	3098
49	160	3043
50	160	2990
51	161	2939
52	161	2889
53	162	2844
54	162	2799
55	163	2754
56	163	2711
57	164	2671
58	164	2630
59	165	2591
60	165	2552
61	166	2516
62	166	2480
63	167	2446
64	167	2415
65	168	2385
66	169	2355
67	169	2325
68	170	2295
69	170	2267
70	171	2239
71	171	2211
72	172	2185
73	172	2160
74	173	2136
75	173	2113
76	174	2091
77	174	2068
78	175	2045
79	175	2023
80	176	2001
81	176	1980
82	177	1960
83	177	1940
84	178	1919
85	178	1901
86	179	1883
87	180	1866
88	180	1848
89	181	1830
90	181	1814
91	182	1797
92	182	1780
93	183	1763
94	183	1747
95	183	1732
96	184	1718
97	185	1703
98	185	1688
99	186	1674
100	186	1661
101	187	1647
102	187	1633
103	188	1620
104	188	1606
105	188	1593
106	189	1580
107	189	1567
108	190	1558
109	191	1546
110	191	1534
111	192	1523
112	192	1511
113	193	1500
114	193	1489
115	193	1478
116	194	1467
117	194	1457
118	195	1448
119	196	1438
120	196	1428
121	197	1419
122	197	1410
123	198	1400
124	198	1391
125	199	1382
126	199	1373
127	200	1364
128	200	1355
129	201	1346
130	201	1339
131	202	1331
132	202	1322
133	203	1314
134	203	1306
135	204	1298
136	204	1290
137	205	1283
138	205	1275
139	206	1267
140	206	1260
141	207	1253
142	207	1245
143	208	1238
144	208	1231
145	209	1224
146	209	1217
147	210	1210
148	210	1204
149	211	1197
150	211	1190
151	212	1184
152	212	1178
153	213	1172
154	213	1166
155	214	1160
156	214	1153
157	215	1147
158	215	1141
159	216	1135
160	216	1129
161	217	1123
162	217	1117
163	218	1112
164	218	1107
165	219	1101
166	219	1096
167	220	1091
168	220	1085
169	221	1080
170	221	1075
171	222	1070
172	222	1064
173	223	1060
174	223	1055
175	224	1051
176	225	1046
177	225	1041
178	226	1037
179	226	1032
180	227	1027
181	227	1023
182	228	1018
183	228	1014
184	229	1010
185	229	1006
186	230	1002
187	230	997
188	231	993
189	231	988
190	232	983
191	232	979
192	233	974
193	233	970
194	234	966
195	234	962
196	235	959
197	235	954
198	236	951
199	236	947
200	237	943
201	237	939
202	238	935
203	238	932
204	239	928
205	240	925
206	240	921
207	241	918
208	241	914
209	242	910
210	242	907
211	243	903
212	243	900
213	244	896
214	244	893
215	245	890
216	245	886
217	246	883
218	246	880
219	247	877
220	248	874
221	248	871
222	249	868
223	249	864
224	250	861
225	250	858
226	251	855
227	251	852
228	252	850
229	253	847
230	253	844
231	254	841
232	254	838
233	255	835
234	255	831
235	256	829
236	256	826
237	257	823
238	257	821
239	258	818
240	259	815
241	259	813
242	260	810
243	260	807
244	261	804
245	261	802
246	262	799
247	262	797
248	263	794
249	263	791
250	264	789
251	264	786
252	265	783
253	265	781
254	266	778
255	266	775
256	267	773
257	267	770
258	268	768
259	269	765
260	269	763
261	270	761
262	270	758
263	271	755
264	271	753
265	272	751
266	272	748
267	273	746
268	273	743
269	274	741
270	274	739
271	275	736
272	275	734
273	276	732
274	276	730
275	277	727
276	277	725
277	278	723
278	279	721
279	279	719
280	280	717
281	280	715
282	281	712
283	281	710
284	282	708
285	282	706
286	283	704
287	283	702
288	284	700
289	285	698
290	285	696
291	286	694
292	286	691
293	287	689
294	287	687
295	288	685
296	288	683
297	289	681
298	289	679
299	290	677
300	290	675
301	291	673
