iter	Passed	Remaining
0	140	140521
1	141	70493
2	141	47151
3	142	35463
4	142	28447
5	143	23768
6	143	20421
7	144	17924
8	145	15990
9	145	14438
10	146	13165
11	146	12100
12	147	11205
13	148	10430
14	148	9757
15	149	9167
16	149	8648
17	150	8186
18	150	7775
19	151	7403
20	151	7069
21	152	6766
22	152	6486
23	153	6232
24	153	5997
25	154	5781
26	154	5580
27	155	5394
28	155	5220
29	156	5059
30	157	4911
31	157	4769
32	158	4636
33	158	4511
34	159	4391
35	159	4279
36	160	4174
37	160	4073
38	161	3978
39	162	3888
40	162	3800
41	163	3718
42	163	3640
43	164	3566
44	164	3495
45	165	3426
46	165	3362
47	166	3299
48	166	3239
49	167	3180
50	167	3123
51	168	3073
52	169	3023
53	169	2974
54	170	2927
55	170	2881
56	171	2836
57	171	2793
58	172	2752
59	173	2712
60	173	2672
61	174	2634
62	174	2601
63	175	2566
64	176	2532
65	176	2498
66	177	2465
67	177	2433
68	178	2402
69	178	2372
70	179	2343
71	179	2314
72	180	2287
73	180	2260
74	181	2235
75	181	2209
76	182	2184
77	182	2160
78	183	2136
79	183	2113
80	184	2091
81	184	2069
82	185	2045
83	185	2024
84	186	2004
85	186	1984
86	187	1964
87	187	1945
88	188	1927
89	188	1909
90	189	1891
91	189	1873
92	190	1856
93	190	1839
94	191	1822
95	191	1807
96	192	1791
97	192	1775
98	193	1761
99	194	1746
100	194	1733
101	195	1721
102	196	1708
103	197	1698
104	197	1685
105	198	1672
106	198	1659
107	199	1647
108	200	1635
109	200	1623
110	201	1611
111	201	1599
112	202	1587
113	202	1576
114	203	1564
115	203	1553
116	204	1542
117	204	1531
118	205	1520
119	206	1511
120	206	1501
121	207	1490
122	207	1480
123	208	1470
124	208	1460
125	209	1451
126	209	1440
127	210	1431
128	210	1422
129	211	1412
130	211	1404
131	212	1396
132	212	1387
133	213	1379
134	213	1370
135	214	1362
136	214	1354
137	215	1346
138	216	1338
139	216	1330
140	217	1322
141	217	1314
142	217	1306
143	218	1299
144	219	1292
145	219	1285
146	220	1278
147	220	1271
148	221	1263
149	221	1256
150	222	1249
151	222	1243
152	223	1237
153	224	1230
154	224	1224
155	225	1218
156	225	1212
157	226	1206
158	226	1200
159	227	1194
160	227	1186
161	228	1181
162	228	1174
163	229	1169
164	229	1163
165	230	1157
166	231	1153
167	231	1147
168	232	1141
169	232	1136
170	233	1131
171	233	1125
172	234	1120
173	234	1115
174	235	1109
175	235	1104
176	236	1099
177	237	1094
178	237	1089
179	238	1084
180	238	1079
181	239	1076
182	240	1073
183	240	1068
184	241	1063
185	241	1058
186	242	1054
187	243	1049
188	243	1045
189	244	1040
190	244	1036
191	245	1031
192	245	1027
193	246	1022
194	246	1018
195	247	1014
196	247	1010
197	248	1006
198	249	1002
199	249	998
200	250	994
201	250	990
202	251	986
203	251	982
204	252	978
205	252	974
206	253	971
207	254	968
208	254	964
209	255	960
210	255	956
211	256	953
212	257	949
213	257	946
214	258	942
215	258	938
216	259	934
217	259	931
218	260	927
219	260	923
220	261	920
221	261	916
222	262	913
223	262	909
224	263	906
225	263	902
226	264	899
227	264	896
228	265	892
229	265	889
230	266	886
231	266	883
232	267	880
233	267	877
234	268	873
235	268	870
236	269	867
237	269	864
238	270	861
239	270	858
240	271	854
241	271	851
242	272	848
243	272	845
244	273	842
245	273	839
246	274	836
247	274	833
248	275	830
249	275	827
250	276	824
251	276	821
252	277	819
253	277	816
254	278	813
255	278	810
256	279	807
257	279	804
258	280	801
259	280	799
260	281	796
261	281	794
262	282	791
263	282	788
264	283	786
265	283	783
266	284	780
267	284	777
268	285	775
269	285	772
270	286	769
271	286	767
272	287	765
273	287	763
274	288	760
275	289	758
276	289	755
277	290	753
278	290	751
279	291	748
280	291	746
281	292	743
282	292	741
283	293	738
284	293	736
285	294	734
286	294	732
287	295	730
288	295	727
289	296	725
290	296	723
291	297	720
292	297	718
293	298	716
294	298	713
295	299	711
296	299	709
297	300	707
298	300	705
299	301	703
300	301	701
301	302	699
302	302	696
303	303	694
304	304	692
305	304	690
306	305	688
307	305	686
308	306	684
309	306	682
310	307	680
311	307	678
312	308	676
313	308	674
314	309	672
315	309	670
316	310	668
317	310	666
318	311	664
319	311	662
320	312	660
321	312	658
322	313	656
323	313	654
324	314	652
325	314	651
326	315	649
327	315	647
328	316	645
329	316	643
330	317	641
331	317	639
332	318	637
333	318	635
334	319	634
335	319	632
336	320	630
337	321	628
338	321	627
339	322	625
340	322	623
